implementation,batch_size,seq_len,tile_size,runtime_ms,peak_memory_mb,max_abs_error
baseline,1,128,,0.17571133336484004,9.25,0.0
dsl_baseline,1,128,,0.17839899999216868,9.25,0.0
tiled,1,128,64.0,0.3462293333313937,9.3125,0.0
streaming,1,128,64.0,0.5695110000184892,9.3125,0.0
tiled,1,128,128.0,0.2467690000003131,9.75,0.0
streaming,1,128,128.0,0.275216666674775,9.75,0.0
tiled,1,128,256.0,0.2487360000031913,9.75,0.0
streaming,1,128,256.0,0.26828166664927267,9.75,0.0
baseline,1,256,,0.276830666659104,11.75,0.0
dsl_baseline,1,256,,0.5349916666925006,11.75,0.0
tiled,1,256,64.0,0.5154109999997066,10.8125,0.0
streaming,1,256,64.0,0.5813450000005105,10.5625,0.0
tiled,1,256,128.0,0.32637100002830266,12.0,0.0
streaming,1,256,128.0,0.35485633331215166,11.25,0.0
tiled,1,256,256.0,0.32349999999799667,12.375,0.0
streaming,1,256,256.0,0.41087466668917233,12.375,0.0
baseline,1,512,,0.382688666680527,19.375,0.0
dsl_baseline,1,512,,0.6128776666779837,19.375,0.0
tiled,1,512,64.0,1.5054839999872154,13.5625,0.0
streaming,1,512,64.0,1.0713299999830876,12.9375,0.0
tiled,1,512,128.0,0.8110100000067177,16.0,0.0
streaming,1,512,128.0,0.7959379999723145,14.25,0.0
tiled,1,512,256.0,0.5253479999964838,19.875,0.0
streaming,1,512,256.0,0.5344913333450071,16.375,0.0
baseline,1,1024,,1.1891073333648212,46.625,0.0
dsl_baseline,1,1024,,1.186909666671454,46.625,0.0
tiled,1,1024,64.0,3.5874639999822953,19.0625,0.0
streaming,1,1024,64.0,3.568230000003799,17.6875,0.0
tiled,1,1024,128.0,2.120819333337446,24.0,0.0
streaming,1,1024,128.0,2.1425886666672036,20.25,0.0
tiled,1,1024,256.0,1.74761100000372,31.875,0.0
streaming,1,1024,256.0,1.7521819999804695,24.375,0.0
baseline,2,128,,0.17856466668793777,13.375,0.0
dsl_baseline,2,128,,0.3572023333238879,13.375,0.0
tiled,2,128,64.0,0.31894699998247233,12.5,0.0
streaming,2,128,64.0,0.33980733333767904,11.5,0.0
tiled,2,128,128.0,0.23810699997284246,11.375,0.0
streaming,2,128,128.0,0.24739133330816304,11.375,0.0
tiled,2,128,256.0,0.24434933334305242,11.375,0.0
streaming,2,128,256.0,0.2369926666763907,11.375,0.0
baseline,2,256,,0.2526156666438813,15.375,0.0
dsl_baseline,2,256,,0.4378620000125011,15.375,0.0
tiled,2,256,64.0,0.66582766665609,13.5,0.0
streaming,2,256,64.0,0.6465073333477752,13.0,0.0
tiled,2,256,128.0,0.4377906666756341,15.875,0.0
streaming,2,256,128.0,0.45568166664603876,14.375,0.0
tiled,2,256,256.0,0.2702253333382032,16.625,0.0
streaming,2,256,256.0,0.350772000009177,16.625,0.0
baseline,2,512,,0.6410449999899962,30.625,0.0
dsl_baseline,2,512,,0.6912193333240187,30.625,0.0
tiled,2,512,64.0,1.778708999988036,19.0,0.0
streaming,2,512,64.0,2.155903000016224,17.75,0.0
tiled,2,512,128.0,1.226048999986536,23.875,0.0
streaming,2,512,128.0,1.0312003333107593,20.375,0.0
tiled,2,512,256.0,0.7419769999993756,31.625,0.0
streaming,2,512,256.0,0.8012290000275849,24.625,0.0
baseline,2,1024,,1.803124333340141,85.125,0.0
dsl_baseline,2,1024,,1.8021673333426709,85.125,0.0
tiled,2,1024,64.0,5.544240333316945,30.0,0.0
streaming,2,1024,64.0,5.653192999981608,27.25,0.0
tiled,2,1024,128.0,3.532695999979296,39.875,0.0
streaming,2,1024,128.0,3.48988433336217,32.375,0.0
tiled,2,1024,256.0,2.386803333365606,55.625,0.0
streaming,2,1024,256.0,2.420970999992278,40.625,0.0
