implementation,batch_size,seq_len,tile_size,runtime_ms,peak_memory_mb,max_abs_error
baseline,1,128,,0.5106,9.25,0.0
dsl_baseline,1,128,,0.1914,9.25,0.0
tiled,1,128,64.0,0.3725,9.3125,0.0
streaming,1,128,64.0,0.3746,9.3125,0.0
tiled,1,128,128.0,0.283,9.75,0.0
streaming,1,128,128.0,0.2491,9.75,0.0
tiled,1,128,256.0,0.2593,9.75,0.0
streaming,1,128,256.0,0.2459,9.75,0.0
baseline,1,256,,0.3513,11.75,0.0
dsl_baseline,1,256,,0.2839,11.75,0.0
tiled,1,256,64.0,0.5117,10.8125,0.0
streaming,1,256,64.0,0.8555,10.5625,0.0
tiled,1,256,128.0,0.3233,12.0,0.0
streaming,1,256,128.0,0.3967,11.25,0.0
tiled,1,256,256.0,0.355,12.375,0.0
streaming,1,256,256.0,0.3743,12.375,0.0
baseline,1,512,,0.3597,19.375,0.0
dsl_baseline,1,512,,0.401,19.375,0.0
tiled,1,512,64.0,1.0908,13.5625,0.0
streaming,1,512,64.0,1.0817,12.9375,0.0
tiled,1,512,128.0,0.8431,16.0,0.0
streaming,1,512,128.0,0.7995,14.25,0.0
tiled,1,512,256.0,0.5248,19.875,0.0
streaming,1,512,256.0,0.5318,16.375,0.0
baseline,1,1024,,1.1649,46.625,0.0
dsl_baseline,1,1024,,1.173,46.625,0.0
tiled,1,1024,64.0,3.6232,19.0625,0.0
streaming,1,1024,64.0,3.5845,17.6875,0.0
tiled,1,1024,128.0,2.1138,24.0,0.0
streaming,1,1024,128.0,2.1416,20.25,0.0
tiled,1,1024,256.0,1.751,31.875,0.0
streaming,1,1024,256.0,1.7475,24.375,0.0
baseline,2,128,,0.2056,13.375,0.0
dsl_baseline,2,128,,0.199,13.375,0.0
tiled,2,128,64.0,0.3571,12.5,0.0
streaming,2,128,64.0,0.5064,11.5,0.0
tiled,2,128,128.0,0.251,11.375,0.0
streaming,2,128,128.0,0.2489,11.375,0.0
tiled,2,128,256.0,0.2572,11.375,0.0
streaming,2,128,256.0,0.2392,11.375,0.0
baseline,2,256,,0.2323,15.375,0.0
dsl_baseline,2,256,,0.2918,15.375,0.0
tiled,2,256,64.0,0.6424,13.5,0.0
streaming,2,256,64.0,0.6873,13.0,0.0
tiled,2,256,128.0,0.4526,15.875,0.0
streaming,2,256,128.0,0.4699,14.375,0.0
tiled,2,256,256.0,0.2686,16.625,0.0
streaming,2,256,256.0,0.3394,16.625,0.0
baseline,2,512,,0.6932,30.625,0.0
dsl_baseline,2,512,,0.6476,30.625,0.0
tiled,2,512,64.0,1.7635,19.0,0.0
streaming,2,512,64.0,1.7639,17.75,0.0
tiled,2,512,128.0,0.9547,23.875,0.0
streaming,2,512,128.0,0.9721,20.375,0.0
tiled,2,512,256.0,0.7236,31.625,0.0
streaming,2,512,256.0,0.7411,24.625,0.0
baseline,2,1024,,1.7892,85.125,0.0
dsl_baseline,2,1024,,1.782,85.125,0.0
tiled,2,1024,64.0,5.5261,30.0,0.0
streaming,2,1024,64.0,5.615,27.25,0.0
tiled,2,1024,128.0,3.4398,39.875,0.0
streaming,2,1024,128.0,3.4924,32.375,0.0
tiled,2,1024,256.0,2.4144,55.625,0.0
streaming,2,1024,256.0,2.4664,40.625,0.0
