implementation,batch_size,seq_len,tile_size,runtime_ms,peak_memory_mb,max_abs_error,baseline_memory_mb,memory_reduction_factor,memory_reduction_percent
baseline,1,128,,0.5105766667838907,9.25,0.0,9.25,1.0,0.0
baseline,1,128,,0.5105766667838907,9.25,0.0,9.25,1.0,0.0
baseline,1,128,,0.5105766667838907,9.25,0.0,13.375,1.446,30.84
baseline,1,128,,0.5105766667838907,9.25,0.0,13.375,1.446,30.84
dsl_baseline,1,128,,0.1913823333173544,9.25,0.0,9.25,1.0,0.0
dsl_baseline,1,128,,0.1913823333173544,9.25,0.0,9.25,1.0,0.0
dsl_baseline,1,128,,0.1913823333173544,9.25,0.0,13.375,1.446,30.84
dsl_baseline,1,128,,0.1913823333173544,9.25,0.0,13.375,1.446,30.84
tiled,1,128,64.0,0.3724530000302669,9.3125,0.0,9.25,0.993,-0.68
tiled,1,128,64.0,0.3724530000302669,9.3125,0.0,9.25,0.993,-0.68
tiled,1,128,64.0,0.3724530000302669,9.3125,0.0,13.375,1.436,30.37
tiled,1,128,64.0,0.3724530000302669,9.3125,0.0,13.375,1.436,30.37
streaming,1,128,64.0,0.374614000065776,9.3125,0.0,9.25,0.993,-0.68
streaming,1,128,64.0,0.374614000065776,9.3125,0.0,9.25,0.993,-0.68
streaming,1,128,64.0,0.374614000065776,9.3125,0.0,13.375,1.436,30.37
streaming,1,128,64.0,0.374614000065776,9.3125,0.0,13.375,1.436,30.37
tiled,1,128,128.0,0.283034666608728,9.75,0.0,9.25,0.949,-5.41
tiled,1,128,128.0,0.283034666608728,9.75,0.0,9.25,0.949,-5.41
tiled,1,128,128.0,0.283034666608728,9.75,0.0,13.375,1.372,27.1
tiled,1,128,128.0,0.283034666608728,9.75,0.0,13.375,1.372,27.1
streaming,1,128,128.0,0.249128666685768,9.75,0.0,9.25,0.949,-5.41
streaming,1,128,128.0,0.249128666685768,9.75,0.0,9.25,0.949,-5.41
streaming,1,128,128.0,0.249128666685768,9.75,0.0,13.375,1.372,27.1
streaming,1,128,128.0,0.249128666685768,9.75,0.0,13.375,1.372,27.1
tiled,1,128,256.0,0.2592553334276696,9.75,0.0,9.25,0.949,-5.41
tiled,1,128,256.0,0.2592553334276696,9.75,0.0,9.25,0.949,-5.41
tiled,1,128,256.0,0.2592553334276696,9.75,0.0,13.375,1.372,27.1
tiled,1,128,256.0,0.2592553334276696,9.75,0.0,13.375,1.372,27.1
streaming,1,128,256.0,0.2458519999587831,9.75,0.0,9.25,0.949,-5.41
streaming,1,128,256.0,0.2458519999587831,9.75,0.0,9.25,0.949,-5.41
streaming,1,128,256.0,0.2458519999587831,9.75,0.0,13.375,1.372,27.1
streaming,1,128,256.0,0.2458519999587831,9.75,0.0,13.375,1.372,27.1
baseline,1,256,,0.3513390000383272,11.75,0.0,11.75,1.0,0.0
baseline,1,256,,0.3513390000383272,11.75,0.0,11.75,1.0,0.0
baseline,1,256,,0.3513390000383272,11.75,0.0,15.375,1.309,23.58
baseline,1,256,,0.3513390000383272,11.75,0.0,15.375,1.309,23.58
dsl_baseline,1,256,,0.2838759999879888,11.75,0.0,11.75,1.0,0.0
dsl_baseline,1,256,,0.2838759999879888,11.75,0.0,11.75,1.0,0.0
dsl_baseline,1,256,,0.2838759999879888,11.75,0.0,15.375,1.309,23.58
dsl_baseline,1,256,,0.2838759999879888,11.75,0.0,15.375,1.309,23.58
tiled,1,256,64.0,0.5116543332709019,10.8125,0.0,11.75,1.087,7.98
tiled,1,256,64.0,0.5116543332709019,10.8125,0.0,11.75,1.087,7.98
tiled,1,256,64.0,0.5116543332709019,10.8125,0.0,15.375,1.422,29.67
tiled,1,256,64.0,0.5116543332709019,10.8125,0.0,15.375,1.422,29.67
streaming,1,256,64.0,0.8555363333471178,10.5625,0.0,11.75,1.112,10.11
streaming,1,256,64.0,0.8555363333471178,10.5625,0.0,11.75,1.112,10.11
streaming,1,256,64.0,0.8555363333471178,10.5625,0.0,15.375,1.456,31.3
streaming,1,256,64.0,0.8555363333471178,10.5625,0.0,15.375,1.456,31.3
tiled,1,256,128.0,0.3233480000138418,12.0,0.0,11.75,0.979,-2.13
tiled,1,256,128.0,0.3233480000138418,12.0,0.0,11.75,0.979,-2.13
tiled,1,256,128.0,0.3233480000138418,12.0,0.0,15.375,1.281,21.95
tiled,1,256,128.0,0.3233480000138418,12.0,0.0,15.375,1.281,21.95
streaming,1,256,128.0,0.3967369999979079,11.25,0.0,11.75,1.044,4.26
streaming,1,256,128.0,0.3967369999979079,11.25,0.0,11.75,1.044,4.26
streaming,1,256,128.0,0.3967369999979079,11.25,0.0,15.375,1.367,26.83
streaming,1,256,128.0,0.3967369999979079,11.25,0.0,15.375,1.367,26.83
tiled,1,256,256.0,0.3550003334567009,12.375,0.0,11.75,0.949,-5.32
tiled,1,256,256.0,0.3550003334567009,12.375,0.0,11.75,0.949,-5.32
tiled,1,256,256.0,0.3550003334567009,12.375,0.0,15.375,1.242,19.51
tiled,1,256,256.0,0.3550003334567009,12.375,0.0,15.375,1.242,19.51
streaming,1,256,256.0,0.3743063333179937,12.375,0.0,11.75,0.949,-5.32
streaming,1,256,256.0,0.3743063333179937,12.375,0.0,11.75,0.949,-5.32
streaming,1,256,256.0,0.3743063333179937,12.375,0.0,15.375,1.242,19.51
streaming,1,256,256.0,0.3743063333179937,12.375,0.0,15.375,1.242,19.51
baseline,1,512,,0.3596703333338761,19.375,0.0,19.375,1.0,0.0
baseline,1,512,,0.3596703333338761,19.375,0.0,19.375,1.0,0.0
baseline,1,512,,0.3596703333338761,19.375,0.0,30.625,1.581,36.73
baseline,1,512,,0.3596703333338761,19.375,0.0,30.625,1.581,36.73
dsl_baseline,1,512,,0.401038333317653,19.375,0.0,19.375,1.0,0.0
dsl_baseline,1,512,,0.401038333317653,19.375,0.0,19.375,1.0,0.0
dsl_baseline,1,512,,0.401038333317653,19.375,0.0,30.625,1.581,36.73
dsl_baseline,1,512,,0.401038333317653,19.375,0.0,30.625,1.581,36.73
tiled,1,512,64.0,1.0908276666062495,13.5625,0.0,19.375,1.429,30.0
tiled,1,512,64.0,1.0908276666062495,13.5625,0.0,19.375,1.429,30.0
tiled,1,512,64.0,1.0908276666062495,13.5625,0.0,30.625,2.258,55.71
tiled,1,512,64.0,1.0908276666062495,13.5625,0.0,30.625,2.258,55.71
streaming,1,512,64.0,1.0817126667461707,12.9375,0.0,19.375,1.498,33.23
streaming,1,512,64.0,1.0817126667461707,12.9375,0.0,19.375,1.498,33.23
streaming,1,512,64.0,1.0817126667461707,12.9375,0.0,30.625,2.367,57.76
streaming,1,512,64.0,1.0817126667461707,12.9375,0.0,30.625,2.367,57.76
tiled,1,512,128.0,0.8431350000440337,16.0,0.0,19.375,1.211,17.42
tiled,1,512,128.0,0.8431350000440337,16.0,0.0,19.375,1.211,17.42
tiled,1,512,128.0,0.8431350000440337,16.0,0.0,30.625,1.914,47.76
tiled,1,512,128.0,0.8431350000440337,16.0,0.0,30.625,1.914,47.76
streaming,1,512,128.0,0.7995266666209014,14.25,0.0,19.375,1.36,26.45
streaming,1,512,128.0,0.7995266666209014,14.25,0.0,19.375,1.36,26.45
streaming,1,512,128.0,0.7995266666209014,14.25,0.0,30.625,2.149,53.47
streaming,1,512,128.0,0.7995266666209014,14.25,0.0,30.625,2.149,53.47
tiled,1,512,256.0,0.5247979999391342,19.875,0.0,19.375,0.975,-2.58
tiled,1,512,256.0,0.5247979999391342,19.875,0.0,19.375,0.975,-2.58
tiled,1,512,256.0,0.5247979999391342,19.875,0.0,30.625,1.541,35.1
tiled,1,512,256.0,0.5247979999391342,19.875,0.0,30.625,1.541,35.1
streaming,1,512,256.0,0.5318039999716954,16.375,0.0,19.375,1.183,15.48
streaming,1,512,256.0,0.5318039999716954,16.375,0.0,19.375,1.183,15.48
streaming,1,512,256.0,0.5318039999716954,16.375,0.0,30.625,1.87,46.53
streaming,1,512,256.0,0.5318039999716954,16.375,0.0,30.625,1.87,46.53
baseline,1,1024,,1.1648603332711598,46.625,0.0,46.625,1.0,0.0
baseline,1,1024,,1.1648603332711598,46.625,0.0,46.625,1.0,0.0
baseline,1,1024,,1.1648603332711598,46.625,0.0,85.125,1.826,45.23
baseline,1,1024,,1.1648603332711598,46.625,0.0,85.125,1.826,45.23
dsl_baseline,1,1024,,1.1729759999070666,46.625,0.0,46.625,1.0,0.0
dsl_baseline,1,1024,,1.1729759999070666,46.625,0.0,46.625,1.0,0.0
dsl_baseline,1,1024,,1.1729759999070666,46.625,0.0,85.125,1.826,45.23
dsl_baseline,1,1024,,1.1729759999070666,46.625,0.0,85.125,1.826,45.23
tiled,1,1024,64.0,3.623181333447671,19.0625,0.0,46.625,2.446,59.12
tiled,1,1024,64.0,3.623181333447671,19.0625,0.0,46.625,2.446,59.12
tiled,1,1024,64.0,3.623181333447671,19.0625,0.0,85.125,4.466,77.61
tiled,1,1024,64.0,3.623181333447671,19.0625,0.0,85.125,4.466,77.61
streaming,1,1024,64.0,3.5844846667411425,17.6875,0.0,46.625,2.636,62.06
streaming,1,1024,64.0,3.5844846667411425,17.6875,0.0,46.625,2.636,62.06
streaming,1,1024,64.0,3.5844846667411425,17.6875,0.0,85.125,4.813,79.22
streaming,1,1024,64.0,3.5844846667411425,17.6875,0.0,85.125,4.813,79.22
tiled,1,1024,128.0,2.1137543332467126,24.0,0.0,46.625,1.943,48.53
tiled,1,1024,128.0,2.1137543332467126,24.0,0.0,46.625,1.943,48.53
tiled,1,1024,128.0,2.1137543332467126,24.0,0.0,85.125,3.547,71.81
tiled,1,1024,128.0,2.1137543332467126,24.0,0.0,85.125,3.547,71.81
streaming,1,1024,128.0,2.1415960000013,20.25,0.0,46.625,2.302,56.57
streaming,1,1024,128.0,2.1415960000013,20.25,0.0,46.625,2.302,56.57
streaming,1,1024,128.0,2.1415960000013,20.25,0.0,85.125,4.204,76.21
streaming,1,1024,128.0,2.1415960000013,20.25,0.0,85.125,4.204,76.21
tiled,1,1024,256.0,1.7510050000358508,31.875,0.0,46.625,1.463,31.64
tiled,1,1024,256.0,1.7510050000358508,31.875,0.0,46.625,1.463,31.64
tiled,1,1024,256.0,1.7510050000358508,31.875,0.0,85.125,2.671,62.56
tiled,1,1024,256.0,1.7510050000358508,31.875,0.0,85.125,2.671,62.56
streaming,1,1024,256.0,1.7475183332559634,24.375,0.0,46.625,1.913,47.72
streaming,1,1024,256.0,1.7475183332559634,24.375,0.0,46.625,1.913,47.72
streaming,1,1024,256.0,1.7475183332559634,24.375,0.0,85.125,3.492,71.37
streaming,1,1024,256.0,1.7475183332559634,24.375,0.0,85.125,3.492,71.37
baseline,2,128,,0.2056273333437275,13.375,0.0,9.25,0.692,-44.59
baseline,2,128,,0.2056273333437275,13.375,0.0,9.25,0.692,-44.59
baseline,2,128,,0.2056273333437275,13.375,0.0,13.375,1.0,0.0
baseline,2,128,,0.2056273333437275,13.375,0.0,13.375,1.0,0.0
dsl_baseline,2,128,,0.1990389999567317,13.375,0.0,9.25,0.692,-44.59
dsl_baseline,2,128,,0.1990389999567317,13.375,0.0,9.25,0.692,-44.59
dsl_baseline,2,128,,0.1990389999567317,13.375,0.0,13.375,1.0,0.0
